num,County
705,Duchesne
706,Dukes
707,Duluth
708,Dumfries
709,Dundee
710,Dundy
711,Dunklin
712,Dunn
713,Duplin
714,Duquette
715,Durham
716,Dutchess
717,Duval
718,Dyer
719,Eads
720,Eagle
721,Eagle Harbor
722,Eagle Mountain
723,Early
724,East Baton Rouge
725,East Boston
726,East Carroll
727,East Feliciana
728,East Freetown
729,East Greenwich
730,East Stroudsburg
731,East Waterford
732,Eastland
733,Eaton
734,Eatonton
735,Eau Claire
736,Ector
737,Eddy
738,Edgar
739,Edgecombe
740,Edgefield
741,Edison
742,Edmond
743,Edmonson
744,Edmunds
745,Edwards
746,Effingham
747,El Dorado
748,El Paso
749,Elba
750,Elbert
751,Elbridge
752,Elco
753,Elizabeth
754,Elk
755,Elkhart
756,Elko
757,Elliott
758,Ellis
759,Ellsworth
760,Elmira
761,Elmore
762,Elmore City
763,Elmwood Park
764,Ely
765,Emanuel
766,Emery
767,Emison
768,Emmet
769,Emmett
770,Emmons
771,Emporia (city)
772,Endicott
773,Enfield
774,Erath
775,Erie
776,Escambia
777,Esmeralda
778,Essex
779,Estill
780,Etowah
781,Eureka
782,Evan
783,Evangeline
784,Evans
785,Everett
786,Everglades City
787,Extension
788,Fairbanks North Star
789,Fairfax
790,Fairfax (city)
791,Fairfield
792,Fall River
793,Fallon
794,Falls
795,Falls Church (city)
796,Falls Mill
797,Fannin
798,Faribault
799,Farrandsville
800,Faubush
801,Faulk
802,Faulkner
803,Fauquier
804,Fayette
805,Fentress
806,Fergus
807,Ferry
808,Festina
809,Fillmore
810,Findlay
811,Finley
812,Finney
813,Fisher
814,Fishers
815,Five Forks
816,Flagler
817,Flat Fork
818,Flathead
819,Fleming
820,Fleming Island
821,Florence
822,Floyd
823,Fluvanna
824,Fly
825,Foard
826,Fond du Lac
827,Foneswood
828,Fontana
829,Ford
830,Forest
831,Forest Park
832,Forrest
833,Forsyth
834,Fort Bend
835,Fort Gaines
836,Fort Greely
837,Fort Lauderdale
838,Fort Mill
839,Fort Myers
840,Fort Ogden
841,Fort Rice
842,Fort Seybert
843,Fort Worth
844,Fortescue
845,Foster
846,Fountain
847,Fowlstown
848,Foxton
849,Franklin
850,Franklin (city)
851,Franklin Park
852,Frederick
853,Fredericksburg (city)
854,Freeborn
855,Freestone
856,Fremont
857,Fresno
858,Frio
859,Front Royal
860,Frontier
861,Frye
862,Ft Devens
863,Fullerton
864,Fulton
865,Furnas
866,Gadsden
867,Gage
868,Gaines
869,Gainesville
870,Gaithersburg
871,Galax (city)
872,Gallatin
873,Gallia
874,Galveston
875,Garden
876,Garden Grove
877,Gardnerville
878,Garfield
879,Garland
880,Garrard
881,Garrett
882,Garvin
883,Garza
884,Gasconade
885,Gaston
886,Gates
887,Gatesville
888,Geary
889,Geauga
890,Gem
891,Genesee
892,Geneva
893,Gentry
894,Georgetown
895,Gheen
896,Gibson
897,Gila
898,Gilbert
899,Gilchrist
900,Giles
901,Gillespie
902,Gillett
903,Gilliam
904,Gillmore
905,Gilmer
906,Gilpin
907,Glacier
908,Gladwin
909,Glascock
910,Glendon
911,Glenn
912,Gloucester
913,Glynn
914,Gogebic
915,Golden Valley
916,Goliad
917,Gonzales
918,Goochland
919,Goodhue
920,Gooding
921,Goodland
922,Goody
923,Gordon
924,Goshen
925,Gosper
926,Gove
927,Grady
928,Grafton
929,Graham
930,Grainger
931,Grand
932,Grand Blanc
933,Grand Forks
934,Grand Isle
935,Grand Rapids
936,Grand Traverse
937,Granite
938,Grant
939,Granville
940,Gratiot
941,Graves
942,Gray
943,Grays Harbor
944,Grayson
945,Greeley
946,Green
947,Green Hall
948,Green Lake
949,Greenbrier
950,Greene
951,Greenlee
952,Greens Farms
953,Greensboro
954,Greensville
955,Greenup
956,Greenville
957,Greenwood
958,Greer
959,Gregg
960,Gregory
961,Grenada
962,Griggs
963,Grimes
964,Grove
965,Groveport
966,Grundy
967,Guadalupe
968,Guernsey
969,Guilford
970,Gulf
971,Gulfport
972,Gunnison
973,Guthrie
974,Gwinnett
975,Haakon
976,Habersham
977,Haddix
978,Hadley
979,Haines
980,Hale
981,Halifax
982,Hall
983,Halo
984,Hamblen
985,Hamilton
986,Hamlin
987,Hampden
988,Hampshire
989,Hampton
990,Hampton (city)
991,Hancock
992,Hand
